2025-11-22 21:40:52,025 - VirtualSensor01 - INFO - Starting VirtualSensor01 - Connecting to https://eu.thingsboard.cloud:1883
2025-11-22 21:40:52,051 - VirtualSensor01 - ERROR - Failed to start sensor: [Errno 11001] getaddrinfo failed
2025-11-22 21:41:35,749 - VirtualSensor01 - INFO - Starting VirtualSensor01 - Connecting to eu.thingsboard.cloud:1883
2025-11-22 21:41:36,061 - VirtualSensor01 - INFO - Connected to ThingsBoard successfully
2025-11-22 21:41:36,069 - VirtualSensor01 - INFO - Subscribed to v1/devices/me/attributes
2025-11-22 21:41:36,071 - VirtualSensor01 - INFO - Requested shared attributes
2025-11-22 21:41:36,221 - VirtualSensor01 - INFO - Received message on v1/devices/me/attributes/response/1: {}
2025-11-22 21:41:37,963 - VirtualSensor01 - INFO - Starting telemetry loop
2025-11-22 21:41:37,963 - VirtualSensor01 - INFO - Sensor started successfully
2025-11-22 21:46:43,502 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.5, 'humidity': 38.67}
2025-11-22 21:46:48,512 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.08, 'humidity': 55.58}
2025-11-22 21:46:53,513 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.98, 'humidity': 63.96}
2025-11-22 21:46:58,525 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.3, 'humidity': 49.12}
2025-11-22 21:47:03,527 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.44, 'humidity': 48.98}
2025-11-22 21:47:08,532 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.79, 'humidity': 51.12}
2025-11-22 21:47:13,543 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.99, 'humidity': 62.91}
2025-11-22 21:47:18,545 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.98, 'humidity': 42.44}
2025-11-22 21:47:23,560 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.18, 'humidity': 59.09}
2025-11-22 21:47:28,563 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.75, 'humidity': 58.15}
2025-11-22 21:47:33,576 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.35, 'humidity': 64.04}
2025-11-22 21:47:38,585 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.79, 'humidity': 62.56}
2025-11-22 21:47:43,594 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.77, 'humidity': 61.3}
2025-11-22 21:47:48,609 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.0, 'humidity': 55.16}
2025-11-22 21:47:53,618 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.17, 'humidity': 50.07}
2025-11-22 21:47:58,627 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.73, 'humidity': 63.65}
2025-11-22 21:48:03,641 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.27, 'humidity': 52.27}
2025-11-22 21:48:08,644 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.85, 'humidity': 53.19}
2025-11-22 21:48:13,652 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.91, 'humidity': 38.96}
2025-11-22 21:48:18,660 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.37, 'humidity': 43.57}
2025-11-22 21:48:23,673 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.72, 'humidity': 58.59}
2025-11-22 21:48:28,683 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.6, 'humidity': 36.8}
2025-11-22 21:48:33,686 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.1, 'humidity': 37.23}
2025-11-22 21:48:38,687 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.32, 'humidity': 55.06}
2025-11-22 21:48:43,693 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.27, 'humidity': 50.73}
2025-11-22 21:48:48,702 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.82, 'humidity': 48.44}
2025-11-22 21:48:53,710 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.52, 'humidity': 36.2}
2025-11-22 21:48:58,720 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.93, 'humidity': 49.97}
2025-11-22 21:49:03,720 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.07, 'humidity': 42.17}
2025-11-22 21:49:08,726 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.35, 'humidity': 37.3}
2025-11-22 21:49:13,740 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.41, 'humidity': 35.94}
2025-11-22 21:49:18,747 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.21, 'humidity': 53.12}
2025-11-22 21:49:23,753 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.24, 'humidity': 62.55}
2025-11-22 21:49:28,764 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.34, 'humidity': 48.48}
2025-11-22 21:49:33,770 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.76, 'humidity': 61.12}
2025-11-22 21:49:38,782 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.54, 'humidity': 61.62}
2025-11-22 21:49:43,793 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.97, 'humidity': 50.38}
2025-11-22 21:49:48,805 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.76, 'humidity': 38.21}
2025-11-22 21:49:53,806 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.19, 'humidity': 37.37}
2025-11-22 21:49:58,821 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.81, 'humidity': 53.23}
2025-11-22 21:50:03,824 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.49, 'humidity': 50.38}
2025-11-22 21:50:08,834 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.59, 'humidity': 57.91}
2025-11-22 21:50:13,851 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.06, 'humidity': 44.48}
2025-11-22 21:50:18,854 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.83, 'humidity': 46.56}
2025-11-22 21:50:23,867 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.6, 'humidity': 58.67}
2025-11-22 21:50:28,883 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.94, 'humidity': 60.96}
2025-11-22 21:50:33,898 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.21, 'humidity': 37.56}
2025-11-22 21:50:38,911 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.73, 'humidity': 47.75}
2025-11-22 21:50:43,912 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.46, 'humidity': 52.37}
2025-11-22 21:50:48,916 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.56, 'humidity': 64.21}
2025-11-22 21:50:53,930 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.14, 'humidity': 44.18}
2025-11-22 21:50:58,942 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.14, 'humidity': 62.58}
2025-11-22 21:51:03,943 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.93, 'humidity': 56.42}
2025-11-22 21:51:08,949 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.92, 'humidity': 59.05}
2025-11-22 21:51:13,952 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.92, 'humidity': 36.36}
2025-11-22 21:51:18,959 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.34, 'humidity': 50.63}
2025-11-22 21:51:23,976 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.3, 'humidity': 54.33}
2025-11-22 21:51:28,984 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.35, 'humidity': 40.88}
2025-11-22 21:51:33,997 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.16, 'humidity': 45.99}
2025-11-22 21:51:38,998 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.4, 'humidity': 36.66}
2025-11-22 21:51:43,999 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.72, 'humidity': 46.21}
2025-11-22 21:51:49,014 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.59, 'humidity': 38.96}
2025-11-22 21:51:54,018 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.83, 'humidity': 49.51}
2025-11-22 21:51:59,021 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.63, 'humidity': 50.29}
2025-11-22 21:52:04,034 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.49, 'humidity': 61.12}
2025-11-22 21:52:09,042 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.72, 'humidity': 60.83}
2025-11-22 21:52:14,047 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.6, 'humidity': 64.31}
2025-11-22 21:52:19,062 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.6, 'humidity': 49.71}
2025-11-22 21:52:24,071 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.58, 'humidity': 50.8}
2025-11-22 21:52:29,077 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.99, 'humidity': 53.74}
2025-11-22 21:52:34,087 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.6, 'humidity': 58.66}
2025-11-22 21:52:39,098 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.79, 'humidity': 59.49}
2025-11-22 21:52:44,109 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.24, 'humidity': 39.91}
2025-11-22 21:52:49,118 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.83, 'humidity': 65.33}
2025-11-22 21:52:54,122 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.51, 'humidity': 48.28}
2025-11-22 21:52:59,131 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.86, 'humidity': 60.92}
2025-11-22 21:53:04,144 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.65, 'humidity': 52.78}
2025-11-22 21:53:09,149 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.51, 'humidity': 54.44}
2025-11-22 21:53:14,152 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.65, 'humidity': 45.63}
2025-11-22 21:53:19,152 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.94, 'humidity': 48.6}
2025-11-22 21:53:24,159 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.48, 'humidity': 51.9}
2025-11-22 21:53:29,160 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.23, 'humidity': 41.41}
2025-11-22 21:53:34,167 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.65, 'humidity': 59.25}
2025-11-22 21:53:39,170 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.98, 'humidity': 42.11}
2025-11-22 21:53:44,181 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.04, 'humidity': 40.87}
2025-11-22 21:53:49,186 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.78, 'humidity': 39.16}
2025-11-22 21:53:54,191 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.56, 'humidity': 58.34}
2025-11-22 21:53:59,201 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.33, 'humidity': 46.89}
2025-11-22 21:54:04,211 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.38, 'humidity': 64.84}
2025-11-22 21:54:09,219 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.82, 'humidity': 56.13}
2025-11-22 21:54:14,231 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.72, 'humidity': 46.02}
2025-11-22 21:54:19,246 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.24, 'humidity': 50.41}
2025-11-22 21:54:24,251 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.45, 'humidity': 41.08}
2025-11-22 21:54:29,265 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.59, 'humidity': 63.03}
2025-11-22 21:54:34,273 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.01, 'humidity': 48.93}
2025-11-22 21:54:39,274 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.87, 'humidity': 44.47}
2025-11-22 21:54:44,286 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.05, 'humidity': 59.46}
2025-11-22 21:54:49,292 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.93, 'humidity': 62.86}
2025-11-22 21:54:54,306 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.61, 'humidity': 60.62}
2025-11-22 21:54:59,314 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.05, 'humidity': 56.93}
2025-11-22 21:55:04,321 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.49, 'humidity': 54.05}
2025-11-22 21:55:09,326 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.06, 'humidity': 42.39}
2025-11-22 21:55:14,331 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.87, 'humidity': 51.35}
2025-11-22 21:55:19,333 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.61, 'humidity': 63.55}
2025-11-22 21:55:24,346 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.87, 'humidity': 55.56}
2025-11-22 21:55:29,355 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.65, 'humidity': 55.57}
2025-11-22 21:55:34,361 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.18, 'humidity': 52.39}
2025-11-22 21:55:39,368 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.29, 'humidity': 51.77}
2025-11-22 21:55:44,374 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.7, 'humidity': 55.79}
2025-11-22 21:55:49,384 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.31, 'humidity': 60.21}
2025-11-22 21:55:54,391 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.13, 'humidity': 49.65}
2025-11-22 21:55:59,395 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.7, 'humidity': 57.33}
2025-11-22 21:56:04,408 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.38, 'humidity': 57.82}
2025-11-22 21:56:09,422 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.01, 'humidity': 56.56}
2025-11-22 21:56:14,426 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.1, 'humidity': 62.23}
2025-11-22 21:56:19,432 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.41, 'humidity': 59.12}
2025-11-22 21:56:24,447 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.17, 'humidity': 42.64}
2025-11-22 21:56:29,449 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.66, 'humidity': 41.56}
2025-11-22 21:56:34,463 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.2, 'humidity': 51.1}
2025-11-22 21:56:39,474 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.73, 'humidity': 44.32}
2025-11-22 21:56:44,486 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.42, 'humidity': 53.69}
2025-11-22 21:56:49,487 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.97, 'humidity': 40.47}
2025-11-22 21:56:54,501 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.78, 'humidity': 60.43}
2025-11-22 21:56:59,511 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.87, 'humidity': 56.91}
2025-11-22 21:57:04,517 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.03, 'humidity': 51.95}
2025-11-22 21:57:09,519 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.98, 'humidity': 39.0}
2025-11-22 21:57:14,524 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.04, 'humidity': 36.14}
2025-11-22 21:57:19,536 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.53, 'humidity': 48.68}
2025-11-22 21:57:24,549 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.86, 'humidity': 52.14}
2025-11-22 21:57:29,558 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.6, 'humidity': 50.89}
2025-11-22 21:57:34,567 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.61, 'humidity': 43.82}
2025-11-22 21:57:39,575 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.18, 'humidity': 43.15}
2025-11-22 21:57:44,579 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.8, 'humidity': 56.61}
2025-11-22 21:57:49,582 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.8, 'humidity': 53.3}
2025-11-22 21:57:54,596 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.02, 'humidity': 43.6}
2025-11-22 21:57:59,606 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.38, 'humidity': 58.48}
2025-11-22 21:58:04,619 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.55, 'humidity': 60.88}
2025-11-22 21:58:09,625 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.58, 'humidity': 54.44}
2025-11-22 21:58:14,629 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.31, 'humidity': 42.04}
2025-11-22 21:58:19,640 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.51, 'humidity': 57.43}
2025-11-22 21:58:24,655 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.38, 'humidity': 37.73}
2025-11-22 21:58:29,669 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.26, 'humidity': 56.18}
2025-11-22 21:58:34,685 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.79, 'humidity': 46.39}
2025-11-22 21:58:39,699 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.77, 'humidity': 63.41}
2025-11-22 21:58:44,711 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.66, 'humidity': 57.16}
2025-11-22 21:58:49,712 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.87, 'humidity': 38.36}
2025-11-22 21:58:54,717 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.24, 'humidity': 49.25}
2025-11-22 21:58:59,725 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.78, 'humidity': 59.53}
2025-11-22 21:59:04,737 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.24, 'humidity': 57.09}
2025-11-22 21:59:09,744 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.76, 'humidity': 64.72}
2025-11-22 21:59:14,747 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.33, 'humidity': 56.62}
2025-11-22 21:59:19,758 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.96, 'humidity': 59.39}
2025-11-22 21:59:24,762 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.66, 'humidity': 57.09}
2025-11-22 21:59:29,770 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.95, 'humidity': 50.26}
2025-11-22 21:59:34,772 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.13, 'humidity': 45.94}
2025-11-22 21:59:39,779 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.22, 'humidity': 48.77}
2025-11-22 21:59:44,794 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.38, 'humidity': 48.94}
